Review Title,Rating,Review Body,Review Date,cleaned_body,Sentiment
Great performance,5.0 out of 5 stars,Cool processor,2 April 2024,Cool processor,Positive
It can be more efficient I guess,3.0 out of 5 stars,"It is working almost same as my 10 yr old DELL XPS laptop, swapped with a SATA SSD, and i7 second gen processor. I don't know whats improved. But it's doing its job I guess.. in my 2 weeks of usage I have seen it's temprature rised above 80°C once. Wasn't expecting that from current refined and powerful generations. I am using liquid cooling on top of this. And yet it hit 80°C. What I was doing when that happened was trying to open a game. And one thing that I missed was to disable the integrated graphics because I have dedicated GPU. It was just for a moment the CPU was used during the game launch and after it started using the GPU. But until that switch happened, under less than a minute of CPU usage, it reached to 80°c. I mean since these are premium products, there should be some protection layers blocking such usages, and close the programs instead rather than hitting its performance.But anyways, I disabled the integrated device and then it's all smooth. Everything normal except for that one instance explained above. Parallel processing is still shitty though with Windows OS. Same kind of processors on Mac before Apple silicon came in were working more efficiently. So I guess it's prob with windows OS, but not processors.",10 November 2023,"working almost 10 yr old DELL XPS laptop , swapped SATA SSD , i7 second gen processor . n't know whats improved . 's job guess .. 2 weeks usage seen 's temprature rised 80°C . n't expecting current refined powerful generations . using liquid cooling top . yet hit 80°C . happened trying open game . one thing missed disable integrated graphics dedicated GPU . moment CPU used game launch started using GPU . switch happened , less minute CPU usage , reached 80°c . mean since premium products , protection layers blocking usages , close programs instead rather hitting performance.But anyways , disabled integrated device 's smooth . Everything normal except one instance explained . Parallel processing still shitty though Windows OS . kind processors Mac Apple silicon came working efficiently . guess 's prob windows OS , processors .",Competition Sentiment
It's a beast nothing much to say,5.0 out of 5 stars,This processor is all-rounder for every tasks you do on PC from small to CPU intensive applications. If you are looking for vast performance with heavy production tasks this is very nice to have. Best to use with Motherboard DDR5 and PCI-E 5.0 supported motherboards.,13 October 2023,processor all-rounder every tasks PC small CPU intensive applications . looking vast performance heavy production tasks nice . Best use Motherboard DDR5 PCI-E 5.0 supported motherboards .,Positive
Great product,5.0 out of 5 stars,Thanks 🙏,24 September 2023,Thanks 🙏,Positive
New Generation with Next Gen Power with 24 Cores and 32 Threads,5.0 out of 5 stars,"The Intel Core i9 13900K is an absolute powerhouse! Its blazing speeds and unrivaled performance have transformed my computing experience. Multitasking is a breeze, and demanding applications run seamlessly. The advanced technology and impressive efficiency make it a must-have for any tech enthusiast. Truly a 5-star gem!I recommend this CPU for 8K gaming and stream.",24 August 2023,"Intel Core i9 13900K absolute powerhouse ! blazing speeds unrivaled performance transformed computing experience . Multitasking breeze , demanding applications run seamlessly . advanced technology impressive efficiency make must-have tech enthusiast . Truly 5-star gem ! recommend CPU 8K gaming stream .",Competition Sentiment
Nice processor,5.0 out of 5 stars,Nice processorGood performanceGood over clockingNice performanceTakes loadsGetting god fps in all games like gta5 etc,5 December 2022,Nice processorGood performanceGood clockingNice performanceTakes loadsGetting god fps games like gta5 etc,Positive
No title,No rating,"Upgraded this 13900K from an i7 12700K. It is pretty fast when handling 3d applications.It does generate a lot of heat, but still works ok with CPU air-cooling tower fan.",1 July 2024,"Upgraded 13900K i7 12700K . pretty fast handling 3d applications.It generate lot heat , still works ok CPU air-cooling tower fan .",Positive
No title,No rating,"Very stable & capable, video edit/render.",26 June 2024,"stable & capable , video edit/render .",Positive
No title,No rating,Continues to over hear and crash. Runs way too hot even with max air flow. Be sure to read all the reviews before buying. Already having to replace it at only 5 months.,25 June 2024,Continues hear crash . Runs way hot even max air flow . sure read reviews buying . Already replace 5 months .,Negative
No title,No rating,"It did not come with the box in the image, it came with a standard box like the i7",22 June 2024,"come box image , came standard box like i7",Positive
No title,No rating,"I bought all new parts for my new build. And I wanted a good CPU. Got this one. Long story short, I had bsods, into eternity, slowly troubleshooting and replaced parts. This was the last part I replaced and this was the culprit. Do not buy this chip it will ruin your build.",18 June 2024,"bought new parts new build . wanted good CPU . Got one . Long story short , bsods , eternity , slowly troubleshooting replaced parts . last part replaced culprit . buy chip ruin build .",Negative
No title,No rating,"A monster, I built a gigantic computer of madmen and this processor can hardly undergo stress.A monster construction and it can take everything that clashes.",10 June 2024,"monster , built gigantic computer madmen processor hardly undergo stress.A monster construction take everything clashes .",Neutral
No title,No rating,"I initially got a 13700K, but grabbed this after and snubbed the 14 gen. I upgraded from 8700K, ***which is still a very capable cpu even today, but due to the demands of certain programs the 13900K is handling them better than the 13700K so far.Fingers crossed to hoping it will not fail in future. There are well documented power issues that Intel and their partners have with the 13th, 14th gen. May be an upsell to the upcoming ultra line of cpus?So you have to take this into account and modify your motherboards bios, and follow Intel's suggested settings.I will update this review if anything else comes up.",10 June 2024,"initially got 13700K , grabbed snubbed 14 gen . upgraded 8700K , * * * still capable cpu even today , due demands certain programs 13900K handling better 13700K far.Fingers crossed hoping fail future . well documented power issues Intel partners 13th , 14th gen. May upsell upcoming ultra line cpus ? take account modify motherboards bios , follow Intel 's suggested settings.I update review anything else comes .",Future Expectations
No title,No rating,Excellent product,10 June 2024,Excellent product,Positive
