Review Title,Rating,Review Body,Review Date,cleaned_body,Sentiment
Worst! Gave me used and defective product.,1.0 out of 5 stars,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!",25 June 2024,"Motherboard ( Gigabyte z790 ud ac ) detecting cpuThe packaging worst .. Go store instead , test buy it.Do n't buy !",Neutral
Worst quality,1.0 out of 5 stars,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generation,28 March 2024,n't liked price .I Also n't liked performance .Rather purchase i9 13th generation,Negative
Waste of money,1.0 out of 5 stars,13 gen is better with same performance at low pricing. Avoid this product cause it have only 2 core touching 6000mhz so in real life there are no difference.,7 December 2023,13 gen better performance low pricing . Avoid product cause 2 core touching 6000mhz real life difference .,Negative
i9 14th gen is the beast!,5.0 out of 5 stars,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.",20 November 2023,"upgraded i5 9400f i9 14900k super happy performance able achieve . simply works buttery smooth . Large applications open like notepad apps.It heats lot though went MSI coreliquid liquid cooling solution.If looking upgrade 13th gen save money performance identical , however setting new PC definitely go it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip : u struck setting ur PC go MSI support super responsive assist . got wiring fixed matter minutes ona video call assistant .",Competition Sentiment
It's just a overclocked i7 13700k,2.0 out of 5 stars,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for money,25 October 2023,'s meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine think ur electricity bill gon na sky rocket 3 5 % uplift 15 % money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value money,Positive
Beast gaming 💪🐻,5.0 out of 5 stars,Beast gaming world 2nd most powerful processor my set up has this processor and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy it,23 October 2023,Beast gaming world 2nd powerful processor set processor RTX 4070 16gb ram 2048gb ( 2tb ) nvme m.2 ssd 850 watts pls buy,Positive
No title,No rating,"Bought this, worked great for about a week, then i started to get BSOD's, games and other programs crashing etc. I changed out the RAM, the Motherboard, GPU and even power supply because i couldn't believe the CPU was bad.... guess what it was the CPU.  They replaced it after fighting and the same issues happened again after a few days.  I never got the temp over 80c, this i9 has been having issues across the world and Intel refuses to to a product recall and actually fix it.  This might be the last intel CPU i buy.",1 July 2024,"Bought , worked great week , started get BSOD 's , games programs crashing etc . changed RAM , Motherboard , GPU even power supply could n't believe CPU bad .... guess CPU . replaced fighting issues happened days . never got temp 80c , i9 issues across world Intel refuses product recall actually fix . might last intel CPU buy .",Positive
No title,No rating,"Be careful with cooling. Try to keep under 75 celcious, so water cooling is the best option here. Great performance and stability is achieved under 75 degrees. Using it for 3d graphic rendering. 5 stars.",30 June 2024,"careful cooling . Try keep 75 celcious , water cooling best option . Great performance stability achieved 75 degrees . Using 3d graphic rendering . 5 stars .",Positive
No title,No rating,"It arrived as scheduled, but the box was Core i7-14700K, and the contents were Core i5-13600K.I do not recommend purchasing.",30 June 2024,"arrived scheduled , box Core i7-14700K , contents Core i5-13600K.I recommend purchasing .",Negative
No title,No rating,"I think I may have gotten a defective CPU because the processor doesn't work, installer tried three different motherboards to rule out pcie failure on board, and tested with different ram, could not get through booting to windows without BOD'ing.",28 June 2024,"think may gotten defective CPU processor n't work , installer tried three different motherboards rule pcie failure board , tested different ram , could get booting windows without BOD'ing .",Negative
