Review Title,Rating,Review Body,Review Date,cleaned_body,Sentiment
Awesome product,5.0 out of 5 stars,Good condition and working properly,13 March 2023,Good condition working properly,Positive
No title,No rating,Good evening The package was delivered without the processor inside be very careful.,22 June 2024,Good evening package delivered without processor inside careful .,Positive
No title,No rating,"what a sexy chip this is easy to install lighting fast , 10 cores 16 threads. very happy. would defiantly recommend .",13 June 2024,"sexy chip easy install lighting fast , 10 cores 16 threads . happy . would defiantly recommend .",Positive
No title,No rating,A Ventirad received but the processor was not there I ask for reimbursement,13 June 2024,Ventirad received processor ask reimbursement,Neutral
No title,No rating,"Very strong processor, pushes from the quiet RTX 4060 to the limit.",12 June 2024,"strong processor , pushes quiet RTX 4060 limit .",Positive
No title,No rating,"Do not buy, apartment if you want to receive a box with just a Ventirad.",11 June 2024,"buy , apartment want receive box Ventirad .",Positive
No title,No rating,"I ( also, I am NOT THE ONLY commenter in this case ) received only a FAN in my order, DONT BUY IT",9 June 2024,"( also , commenter case ) received FAN order , DONT BUY",Positive
No title,No rating,This processor is very fast.Perfect.No complaints.,23 May 2024,processor fast.Perfect.No complaints .,Negative
No title,No rating,Very good as a processor,18 May 2024,good processor,Positive
No title,No rating,"It is a very good processor, it takes place for crowds and works wonderfully, I can play and record or transmit at the same time without decreases fps, the only bad thing the stock dissipator, it is necessary to change it shortly, at the beginning with the temperature it arrivedUp to 100 ° C playing and recording, obvious nothing recommended, already with tower dissipator the temperature is in the 50 ° C maximum.",13 May 2024,"good processor , takes place crowds works wonderfully , play record transmit time without decreases fps , bad thing stock dissipator , necessary change shortly , beginning temperature arrivedUp 100 ° C playing recording , obvious nothing recommended , already tower dissipator temperature 50 ° C maximum .",Positive
No title,No rating,As I expected,9 May 2024,expected,Future Expectations
No title,No rating,Does what it should change from i5 3470 to 13400f is hammer good,6 May 2024,change i5 3470 13400f hammer good,Positive
No title,No rating,Excellent article.,5 May 2024,Excellent article .,Positive
No title,No rating,"Many say that he gets a lot of heat but here is normal legal temperature, better cost benefit intel",2 May 2024,"Many say gets lot heat normal legal temperature , better cost benefit intel",Positive
No title,No rating,Good processor for gaming and office automation,30 April 2024,Good processor gaming office automation,Positive
No title,No rating,A quick processor in all institute tasks such as PowerPoint Excel Canvascon A 7800xt nothing bottle -collar with a better air cooling than past generations and pre -applied thermal paste,23 April 2024,quick processor institute tasks PowerPoint Excel Canvascon 7800xt nothing bottle -collar better air cooling past generations pre -applied thermal paste,Positive
No title,No rating,Bang for the buck!,23 April 2024,Bang buck !,Neutral
No title,No rating,"Very happy, I upgrade from an i5 9th gen 9600KF, night and day on some game !Very chill in temp with my arctis freezer II 280mm, 40-50° in game",22 April 2024,"happy , upgrade i5 9th gen 9600KF , night day game ! chill temp arctis freezer II 280mm , 40-50° game",Positive
No title,No rating,"Buyed used as new, there was only the damaged box, in a nutshell and only the heatsink arrived but the CPU was missing, moreover the flavoring fan was broken, I don't know if it started like this or if it was the delicacy of the postman in launchingThe package at the time of delivery, I returned the product immediately ...",13 April 2024,"Buyed used new , damaged box , nutshell heatsink arrived CPU missing , moreover flavoring fan broken , n't know started like delicacy postman launchingThe package time delivery , returned product immediately ...",Negative
No title,No rating,Very faster CPU. My new PC runs faster than ever and without problems ...,5 April 2024,faster CPU . new PC runs faster ever without problems ...,Positive
No title,No rating,Optimal price/performance ratio!,5 April 2024,Optimal price/performance ratio !,Positive
No title,No rating,Even being the I5 smaller does its duty very well.Never a problem or a block despite having its Stock Digger.I use it for productivity and some small game.Advised,5 April 2024,Even I5 smaller duty well.Never problem block despite Stock Digger.I use productivity small game.Advised,Negative
No title,No rating,a good gaming cpu,4 April 2024,good gaming cpu,Positive
No title,No rating,"I am now trying that I write this review, I find that it is as required as its predecessor, the 12400f, with 100mHz more that they are not even perceived, perhaps with the architecture a little improved it seems more reactive to me, but it is a feeling probably,Data in hand we are there. As the 12400f with 4 more ecore that probably in the productive environment give that more pinch of calculation that does not hurt. So 10 cores and 16 threads with a 4GHz in gaming clock is very armored always very armored,It is not unlocked, only the frequencies of the RAM can be adjusted, the processor is and that remains, in this Intel unfortunately it has always been very tirchy, or take the K series or do not change even a comma.A part this philosophical-commercial choice, this processor goes that it is a fairy tale, with a 3070 it turns well a little and for that handful of watt that consumes does not warmer not even much.Future will give these figures, for a gaming PC, so to speak ""entry level"" at that price is a good deal.",26 March 2024,"trying write review , find required predecessor , 12400f , 100mHz even perceived , perhaps architecture little improved seems reactive , feeling probably , Data hand . 12400f 4 ecore probably productive environment give pinch calculation hurt . 10 cores 16 threads 4GHz gaming clock armored always armored , unlocked , frequencies RAM adjusted , processor remains , Intel unfortunately always tirchy , take K series change even comma.A part philosophical-commercial choice , processor goes fairy tale , 3070 turns well little handful watt consumes warmer even much.Future give figures , gaming PC , speak `` entry level '' price good deal .",Competition Sentiment
No title,No rating,great seller and great product,17 March 2024,great seller great product,Positive
No title,No rating,"Leaves an i3 12400f for him and gave a big difference in the games, the only problem is the high temperature, but that a good air cooler already solves",16 March 2024,"Leaves i3 12400f gave big difference games , problem high temperature , good air cooler already solves",Positive
No title,No rating,This CPU is well priced and very fast for the price. Very happy customer indeed. Highly recommended!,9 March 2024,CPU well priced fast price . happy customer indeed . Highly recommended !,Positive
No title,No rating,Works well with the first use.,28 February 2024,Works well first use .,Positive
No title,No rating,"Very good processor, the only problem is the temperature, it will need a more robust cooling system",16 February 2024,"good processor , problem temperature , need robust cooling system",Positive
No title,No rating,Damaged article you can have the return thanks,6 February 2024,Damaged article return thanks,Neutral
No title,No rating,"I like intel CPU's and I know this one is good value for money. However, the internal box came damaged while the main amazon box was fine, meaning Amazon packed an already damaged product",6 February 2024,"like intel CPU 's know one good value money . However , internal box came damaged main amazon box fine , meaning Amazon packed already damaged product",Positive
No title,No rating,Good,14 January 2024,Good,Positive
No title,No rating,Nix,14 January 2024,Nix,Neutral
