Review Title,Rating,Review Body,Review Date,cleaned_body,Sentiment
Good,4.0 out of 5 stars,Performance is good,11 November 2023,Performance good,Positive
Used or Unboxed product received,3.0 out of 5 stars,"Product is good but by looking at packaging anyone can judge that it is used. While checking warranty found that out of 3 year warranty, 6 months is already passed.",24 August 2023,"Product good looking packaging anyone judge used . checking warranty found 3 year warranty , 6 months already passed .",Positive
This is the best you'll get in this price range Thats it!,5.0 out of 5 stars,"If you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU dont go gentle with that price the intel 12100f can easily handle GPUs upto gtx3060 or rx6800. Just go for it and say no to ryzen in this price for gaming.",25 June 2023,"would building pc gaming slight editing coding perfect cost really low considering performance gives , CPU means low end CPU dont go gentle price intel 12100f easily handle GPUs upto gtx3060 rx6800 . go say ryzen price gaming .",Negative
Good Cpu but awful Delivery,1.0 out of 5 stars,"The Processor is Good & Works Fine. But The Delivery was awful, one of the blades of the fan was broken. As i already had another dedicated cpu cooler, i didn't raise a return. I expected Better from Appario. Apart From this the Processor itself works fine.",20 June 2023,"Processor Good & Works Fine . Delivery awful , one blades fan broken . already another dedicated cpu cooler , n't raise return . expected Better Appario . Apart Processor works fine .",Future Expectations
cpu with broken fan,1.0 out of 5 stars,Cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now it's working fine please don't buy critical pc parts from Amazon you may end up getting with broken parts worst packing,26 April 2023,Cpu stock cooler fan got broken 1 blade box creating noise virbration cpu processor working fine thought replace replace dont know gon na get broken cpu chip replaced stock cooler deepcool air cooler 's working fine please n't buy critical pc parts Amazon may end getting broken parts worst packing,Negative
Awesome,5.0 out of 5 stars,"This is one of the best cpu in budget if you only looking for gaming.For productivity it not worth buying then you should go for i5 12400fBut for gaming and light cpu workload it work like butter smooth.I have teated some games in it , you can check it on my YT channel R tech studio.",16 November 2022,"one best cpu budget looking gaming.For productivity worth buying go i5 12400fBut gaming light cpu workload work like butter smooth.I teated games , check YT channel R tech studio .",Positive
Best in price when even compared to i5 10400f,5.0 out of 5 stars,Got this on sale for 7.26k.. Really enjoyed with processor. Heatsink fan provided looks good but sounds badly at peak usage. Replaced it with air cooler,15 August 2022,Got sale 7.26k .. Really enjoyed processor . Heatsink fan provided looks good sounds badly peak usage . Replaced air cooler,Negative
No title,No rating,"The box was broken through the corners and in bad conditions, I understand that it is from the cast company, but the product was fragile.",17 June 2024,"box broken corners bad conditions , understand cast company , product fragile .",Negative
No title,No rating,"Easy installation, runs smoothly, and overall amazing performance, package arrived nicely and all was a smooth process. One issue however is the thermal paste is already applied to the fan that is provided, for those who wish to instal their own fan, thermal paste should be ordered separately as it isn't provided in a syringe.",10 June 2024,"Easy installation , runs smoothly , overall amazing performance , package arrived nicely smooth process . One issue however thermal paste already applied fan provided , wish instal fan , thermal paste ordered separately n't provided syringe .",Future Expectations
No title,No rating,"I checked the compatibility, changed motherboard, then RAM, then power not believing that it can come from the proc .. and yet .. it seems that this is the case, I have never seen that in 20 years ofPC montage .. but hey .. there is a start to everything, too bad it falls on me: s",8 June 2024,"checked compatibility , changed motherboard , RAM , power believing come proc .. yet .. seems case , never seen 20 years ofPC montage .. hey .. start everything , bad falls :",Negative
No title,No rating,Good product for gaming but I should have turned to his big brother the i5 12400F which is very close to the price level ....,7 June 2024,Good product gaming turned big brother i5 12400F close price level ....,Positive
No title,No rating,Runs stable until now.,31 May 2024,Runs stable .,Positive
No title,No rating,"Very fluid, with the right environment.Excellent price ratio benefits.",21 May 2024,"fluid , right environment.Excellent price ratio benefits .",Positive
No title,No rating,GOOD,19 May 2024,GOOD,Positive
No title,No rating,all good works as should happy with purchase,7 May 2024,good works happy purchase,Positive
No title,No rating,"I came across the Intel Core i3-12100f processor and I was pleasantly surprised by its power and versatility.All daily activities, from the most demanding web navigation sessions.i3-12100f has proven stable even under intense workloads, without overheating and without compromising the performance. This has given me the tranquility necessary to concentrate on my work without having to worry about sudden slowdowns or system crash also, I must mention his ownenergy efficiency.",5 May 2024,"came across Intel Core i3-12100f processor pleasantly surprised power versatility.All daily activities , demanding web navigation sessions.i3-12100f proven stable even intense workloads , without overheating without compromising performance . given tranquility necessary concentrate work without worry sudden slowdowns system crash also , must mention ownenergy efficiency .",Positive
No title,No rating,In line with comments 4 and more.No complaints.I recommend.,29 April 2024,line comments 4 more.No complaints.I recommend .,Positive
